[H[2J[3Jx: 100, y: 0, z:0
x: 45.719822, y: 26.396353, z:24.57456
x: 43.921665, y: 25.358185, z:22.981333
x: 42.250603, y: 24.393398, z:21.213203
x: 40.71936, y: 23.509335, z:19.283628
x: 39.339584, y: 22.712719, z:17.207294
x: 38.121777, y: 22.009619, z:15.000002
x: 37.07521, y: 21.405384, z:12.67855
x: 36.207844, y: 20.90461, z:10.260607
x: 35.526287, y: 20.511112, z:7.764574
x: 35.03572, y: 20.227884, z:5.209449
x: 34.73988, y: 20.05708, z:2.6146765
x: 34.641014, y: 20, z:-0.0000026226833
x: 34.73988, y: 20.05708, z:-2.6146743
x: 35.03572, y: 20.227884, z:-5.209447
x: 35.526287, y: 20.511112, z:-7.764572
x: 36.207844, y: 20.90461, z:-10.260605
x: 37.07521, y: 21.405384, z:-12.678548
x: 38.121777, y: 22.009619, z:-14.999999
x: 39.339584, y: 22.712719, z:-17.207293
x: 40.719357, y: 23.509333, z:-19.283627
x: 42.250603, y: 24.393398, z:-21.213202
x: 43.92167, y: 25.358189, z:-22.981337
x: 45.719826, y: 26.396355, z:-24.574564
x: 47.6314, y: 27.500002, z:-25.980762
x: 49.641838, y: 28.660728, z:-27.189234
x: 51.735836, y: 29.8697, z:-28.19078
x: 53.897465, y: 31.117716, z:-28.977776
x: 56.110268, y: 32.39528, z:-29.544233
x: 58.357407, y: 33.692665, z:-29.885841
x: 60.621777, y: 35, z:-30
x: 62.886147, y: 36.307335, z:-29.885841
x: 65.133286, y: 37.60472, z:-29.544231
x: 67.34609, y: 38.882286, z:-28.977774
x: 69.50772, y: 40.130302, z:-28.190779
x: 71.601715, y: 41.33927, z:-27.189234
x: 73.61216, y: 42.5, z:-25.980762
x: 75.52373, y: 43.603645, z:-24.574564
x: 77.321884, y: 44.64181, z:-22.981335
x: 78.99294, y: 45.606598, z:-21.213207
x: 80.52419, y: 46.490665, z:-19.283632
x: 81.90397, y: 47.287277, z:-17.207296
x: 83.12177, y: 47.99038, z:-15.000006
x: 84.16834, y: 48.594616, z:-12.678554
x: 85.035706, y: 49.09539, z:-10.260611
x: 85.71726, y: 49.488884, z:-7.7645783
x: 86.20783, y: 49.772118, z:-5.2094536
x: 86.50368, y: 49.94292, z:-2.6146808
x: 86.60254, y: 50, z:0.0000052453665
x: 81.91521, y: 57.357643, z:0
x: 81.82169, y: 57.292168, z:2.6146722
x: 81.54186, y: 57.09623, z:5.2094455
x: 81.07785, y: 56.77132, z:7.764571
x: 80.43318, y: 56.31992, z:10.260604
x: 79.61276, y: 55.745453, z:12.678548
x: 78.62283, y: 55.052303, z:15
x: 77.47095, y: 54.245743, z:17.207294
x: 76.16585, y: 53.3319, z:19.283627
x: 74.71748, y: 52.317745, z:21.213203
x: 73.13687, y: 51.210987, z:22.981333
x: 71.436035, y: 50.02005, z:24.574562
x: 69.62792, y: 48.753998, z:25.980762
x: 67.726295, y: 47.422466, z:27.189234
x: 65.745636, y: 46.03559, z:28.190779
x: 63.701008, y: 44.603928, z:28.977774
x: 61.607975, y: 43.13837, z:29.544231
x: 59.482464, y: 41.65007, z:29.885841
x: 57.340645, y: 40.150352, z:30
x: 55.198833, y: 38.65064, z:29.885841
x: 53.07332, y: 37.16234, z:29.544231
x: 50.980278, y: 35.696777, z:28.977774
x: 48.93565, y: 34.26511, z:28.190779
x: 46.954983, y: 32.878235, z:27.189232
x: 45.053364, y: 31.546705, z:25.980762
x: 43.245255, y: 30.280653, z:24.57456
x: 41.54442, y: 29.089716, z:22.981333
x: 39.963806, y: 27.982958, z:21.213203
x: 38.515438, y: 26.968801, z:19.283628
x: 37.210342, y: 26.054962, z:17.207294
x: 36.05845, y: 25.248398, z:15.000002
x: 35.068527, y: 24.555248, z:12.67855
x: 34.248108, y: 23.980783, z:10.260607
x: 33.60344, y: 23.529383, z:7.764574
x: 33.139427, y: 23.204475, z:5.209449
x: 32.859596, y: 23.008537, z:2.6146765
x: 32.766083, y: 22.943058, z:-0.0000026226833
x: 32.859596, y: 23.008537, z:-2.6146743
x: 33.139427, y: 23.204475, z:-5.209447
x: 33.60344, y: 23.529383, z:-7.764572
x: 34.248108, y: 23.980783, z:-10.260605
x: 35.068527, y: 24.555248, z:-12.678548
x: 36.05845, y: 25.248398, z:-14.999999
x: 37.210342, y: 26.054962, z:-17.207293
x: 38.515438, y: 26.9688, z:-19.283627
x: 39.963806, y: 27.982958, z:-21.213202
x: 41.544426, y: 29.08972, z:-22.981337
x: 43.24526, y: 30.280655, z:-24.574564
x: 45.053368, y: 31.546707, z:-25.980762
x: 46.95499, y: 32.87824, z:-27.189234
x: 48.93565, y: 34.265114, z:-28.19078
x: 50.98028, y: 35.696777, z:-28.977776
x: 53.07332, y: 37.16234, z:-29.544233
x: 55.198833, y: 38.65064, z:-29.885841
x: 57.340645, y: 40.150352, z:-30
x: 59.482456, y: 41.650066, z:-29.885841
x: 61.607967, y: 43.138367, z:-29.544231
x: 63.701008, y: 44.603928, z:-28.977774
x: 65.745636, y: 46.03559, z:-28.190779
x: 67.726295, y: 47.422466, z:-27.189234
x: 69.62792, y: 48.753998, z:-25.980762
x: 71.436035, y: 50.02005, z:-24.574564
x: 73.13686, y: 51.210983, z:-22.981335
x: 74.717476, y: 52.31774, z:-21.213207
x: 76.16585, y: 53.3319, z:-19.283632
x: 77.47094, y: 54.24574, z:-17.207296
x: 78.62283, y: 55.052303, z:-15.000006
x: 79.61276, y: 55.745453, z:-12.678554
x: 80.43318, y: 56.31992, z:-10.260611
x: 81.07784, y: 56.771317, z:-7.7645783
x: 81.54186, y: 57.09623, z:-5.2094536
x: 81.82169, y: 57.292168, z:-2.6146808
x: 81.91521, y: 57.357643, z:0.0000052453665
x: 76.60445, y: 64.278755, z:0
x: 76.51699, y: 64.205376, z:2.6146722
x: 76.25531, y: 63.985798, z:5.2094455
x: 75.82137, y: 63.621685, z:7.764571
x: 75.2185, y: 63.115814, z:10.260604
x: 74.45127, y: 62.47203, z:12.678548
x: 73.52553, y: 61.69524, z:15
x: 72.44832, y: 60.791355, z:17.207294
x: 71.22783, y: 59.767242, z:19.283627
x: 69.87337, y: 58.630714, z:21.213203
x: 68.395226, y: 57.390408, z:22.981333
x: 66.80466, y: 56.055763, z:24.574562
x: 65.11378, y: 54.636944, z:25.980762
x: 63.335438, y: 53.14474, z:27.189234
x: 61.48319, y: 51.59052, z:28.190779
